date,oil_price
2018-11-02,55.2124
2018-11-01,55.7678
2018-10-31,57.429
2018-10-30,58.5604
2018-10-29,58.6023
2018-10-28,59.3841
2018-10-27,59.238
2018-10-26,59.2377
2018-10-25,58.8754
2018-10-24,58.2713
2018-10-23,57.7601
2018-10-22,60.6369
2018-10-21,60.2224
2018-10-20,60.3176
2018-10-19,60.3176
2018-10-18,60.0979
2018-10-17,60.744
2018-10-16,62.3859
2018-10-15,61.8692
2018-10-14,62.5156
2018-10-13,61.8391
2018-10-12,61.8391
2018-10-11,61.3352
2018-10-10,62.9726
2018-10-09,64.9781
2018-10-08,64.6004
2018-10-07,64.1233
2018-10-06,64.4423
2018-10-05,64.4423
2018-10-04,64.8361
2018-10-03,66.4012
2018-10-02,65.0743
2018-10-01,65.1616
2018-09-30,63.2707
2018-09-29,63.3327
2018-09-28,63.3327
2018-09-27,61.9863
2018-09-26,61.4005
2018-09-25,61.138
2018-09-24,61.4685
2018-09-23,60.855
2018-09-22,60.1432
2018-09-21,60.1429
2018-09-20,59.6021
2018-09-19,60.6947
2018-09-18,59.5526
2018-09-17,58.5887
2018-09-16,59.2279
2018-09-15,59.3104
2018-09-14,59.3104
2018-09-13,58.8307
2018-09-12,60.3787
2018-09-11,60.2063
2018-09-10,58.3043
2018-09-09,58.906
2018-09-08,58.6877
2018-09-07,58.6877
2018-09-06,58.3875
2018-09-05,58.9976
2018-09-04,59.911
2018-09-03,60.3076
2018-09-02,60.2967
2018-09-01,60.1978
2018-08-31,60.1978
2018-08-30,60.0285
2018-08-29,59.4808
2018-08-28,58.6337
2018-08-27,59.0563
2018-08-26,59.0228
2018-08-25,58.9317
2018-08-24,58.9317
2018-08-23,58.812
2018-08-22,58.6272
2018-08-21,57.0725
2018-08-20,56.9493
2018-08-19,56.9716
2018-08-18,56.9498
2018-08-17,56.9498
2018-08-16,56.9685
2018-08-15,57.2062
2018-08-14,58.828
2018-08-13,59.1197
2018-08-12,59.5752
2018-08-11,59.3356
2018-08-10,59.3356
2018-08-09,57.9064
2018-08-08,57.4937
2018-08-07,59.6241
2018-08-06,59.633
2018-08-05,59.2704
2018-08-04,59.2764
2018-08-03,59.2764
2018-08-02,59.5
2018-08-01,58.1686
2018-07-31,58.4827
2018-07-30,59.8242
2018-07-29,59.1403
2018-07-28,59.1372
2018-07-27,59.1346
2018-07-26,59.7415
2018-07-25,59.1582
2018-07-24,58.8036
2018-07-23,58.0151
2018-07-22,58.1967
2018-07-21,58.0909
2018-07-20,58.0784
2018-07-19,58.4071
2018-07-18,58.1984
2018-07-17,57.3443
2018-07-16,58.0324
2018-07-15,60.5476
2018-07-14,60.3329
2018-07-13,60.3429
2018-07-12,60.2343
2018-07-11,60.4549
2018-07-10,63.0724
2018-07-09,62.9817
2018-07-08,62.902
2018-07-07,62.8788
2018-07-06,62.879
2018-07-05,62.5411
2018-07-04,63.5993
2018-07-03,63.9828
