,lin_reg_test_rmse,lin_reg_train_r2,lin_reg_test_r2,e_net_test_rmse,e_net_train_r2,e_net_test_r2,knn_test_rmse,knn_train_r2,knn_test_r2,rf_test_rmse,rf_train_r2,rf_test_r2,ada_test_rmse,ada_train_r2,ada_test_r2,svr_test_rmse,svr_train_r2,svr_test_r2
10,5.6761177143684955,0.8765920959463956,0.7117064037632668,5.6300262396274965,0.876174643167013,0.7163694242490319,6.715426020306725,0.7807415985672017,0.596466729838607,5.720671404874421,0.9713454240183105,0.7071628214040393,6.061949658097828,0.8476906992934331,0.6711810338868864,5.495259166065005,0.8636038057378344,0.7297855514608144
11,5.791514701707969,0.8784294013761463,0.713117112391209,5.741483462439609,0.8779830529032171,0.7180523015212676,6.779880648478101,0.7833656453051292,0.6068444463950196,5.867446156495163,0.9713982199113875,0.7055452644761429,6.3556630794157165,0.8431379982849558,0.6545047739528791,5.583000184356317,0.8673410323804077,0.7334027890068295
12,6.0918206275090325,0.8745165192581497,0.7028244397693051,6.034806527024152,0.873945133543664,0.7083610146448834,6.916620733469164,0.782223620294893,0.6169047208682635,6.147579044061676,0.9709545836318025,0.6973594491031525,6.43681486429321,0.8321785648453591,0.6682118185264759,5.945850057477833,0.8645599225328444,0.7168954940366252
13,6.147733381346175,0.8641966601430602,0.7033308457385148,6.090652476850187,0.8635511778545524,0.7088143392329616,7.062868495329378,0.77338813806218,0.6084343514515234,6.386931730074319,0.96896221134478,0.6797958969731921,6.7844370906787415,0.8176666080846738,0.6386983173799987,6.068908830191612,0.8529268127755034,0.7108896953685282
14,6.166005812875651,0.8607627080536159,0.7255559284493909,6.119893500533238,0.8599836580535556,0.7296454250053486,7.584615856188789,0.7614180187725578,0.5847466226229526,6.859869388620422,0.9664598229604151,0.6603139688556059,7.883860482416311,0.7945642326977068,0.551333282491617,6.03934306047599,0.8497001859267983,0.7367154381188233
15,6.180054339293447,0.8564947049100408,0.7427270830112631,6.13289991086324,0.8556235465369065,0.7466381408091114,7.990230897482661,0.7534888978783658,0.5699408995308716,7.214385873376377,0.964796116849598,0.6494029816630281,7.88074785941823,0.7836642922254542,0.581645592708308,6.0067250434976724,0.8438298643695336,0.7569559527947585
16,6.323544569638909,0.855245854372092,0.7466295405610763,6.298317162376905,0.854436932984062,0.7486471209497101,8.254554735677601,0.7546277907217875,0.5682601717037341,7.491025162949671,0.9642154996783849,0.6444363768662208,7.895772399636683,0.7855053118657168,0.6049754807391551,6.161823624298198,0.8415105684188889,0.7594234253854293
17,6.42439322365668,0.8523984755374959,0.7320697985204008,6.387270175159259,0.8515348510820657,0.7351572958640579,7.922420765861321,0.7568291070132751,0.592551007013604,7.142219987455268,0.9657569783668828,0.6688506663238667,7.335682947544409,0.8034926599261811,0.650667859320119,6.276598889044309,0.8386165513497238,0.7442555656061419
18,6.826170428322371,0.8603768930124333,0.6695892341319962,6.767991837293919,0.8594899394149964,0.6751973320041502,7.8870930405832205,0.7534631720594547,0.5589032442557249,7.2165345822033595,0.9670020502587796,0.6307186883078587,7.512638854461623,0.8019549281443453,0.5997927428895162,6.528117010139671,0.8472013198266818,0.6978129870905039
19,6.6039504738876165,0.8577254608012833,0.606610058885485,6.53968016007416,0.8568443237703308,0.6142298208065722,7.356391507110466,0.7441649701424011,0.5118589799639426,6.760917006871795,0.967680120550469,0.5876871735216112,8.08058555597537,0.8235071110932031,0.4110189778350254,6.287918149557928,0.8448444939699274,0.6433605385693422
20,6.220447890268153,0.8337753588395231,0.5175746286963936,6.1616718157730155,0.8327153526034241,0.5266482866293208,6.451917391586015,0.7406266078833632,0.4810035065667857,6.032661835309971,0.9668421347276577,0.5462623787334858,7.88473274797885,0.8097628374294579,0.22489456466496938,5.907246373797377,0.8189488416032198,0.5649321456461298
21,5.768208041935173,0.840810153703168,0.549562635994496,5.711833391705745,0.8396071841200685,0.5583241647926876,5.993699014760639,0.7578718037822515,0.5136572598768958,5.520267546188937,0.9678822210220223,0.5874535725792756,5.683866495177268,0.8273088713035731,0.5626387381346551,5.384583162706991,0.8257830979500453,0.6074845511744988
22,5.541703402588387,0.8337266257107915,0.6054400780005027,5.475065571194192,0.8328255405509012,0.6148720284418507,6.389441236972843,0.7612181616977903,0.47549193150475977,5.78004058277453,0.9669521146223308,0.5707718583430861,5.842715895140696,0.8171068003844655,0.5614128020767495,5.380480050787064,0.8222960610004117,0.6280637880068765
23,6.746622715554337,0.7940300616822351,0.5273484108339876,6.690483802920781,0.7929945571613974,0.535181589462066,7.3049672228575835,0.7258552215327971,0.44587873475327033,6.963601401414415,0.9592157391210308,0.49645755770185285,7.028594788752781,0.7836660108582076,0.487014267589041,6.4445186352854265,0.777344454223887,0.5687300070777892
